mca_preliminary_rank,company_name,latest_financial_year,total_wash_spend_crore,total_water_spend_crore,total_sanitation_spend_crore,states,nse_annual_report_status,bse_disclosure_status,csr_policy_status,brsr_status,latest_document_year,document_url,retrieved_on,ai_analysis_status
388,TRIVENI ENGINEERING AND INDUSTRIES LIMITED,FY2024-25,0.441278,0.381978,0.0593,Uttar Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
389,SOUTH WEST PORT LIMITED,FY2024-25,1.705224725,0.015,1.690224725,Goa,PENDING,PENDING,PENDING,PENDING,,,,PENDING
390,TOYOTA TSUSHO INSURANCE BROKER INDIA PRIVATE LIMITED,FY2024-25,0.4228908999999999,0.4228908999999999,0.0,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
391,UTI INFRASTRUCTURE TECHNOLOGY AND SERVICES LIMITED,FY2024-25,0.8235118,0.3915118,0.432,"Chhattisgarh, Madhya Pradesh, Maharashtra, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
392,TATA CAPITAL HOUSING FINANCE LIMITED,FY2024-25,0.70747,0.512,0.19547,"Karnataka, Maharashtra, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
393,UTILITY POWERTECH LIMITED,FY2023-24,0.3596616,0.3587616,0.0009,"Bihar, Chhattisgarh, Haryana, Madhya Pradesh, Maharashtra, Odisha, Pan India, Uttar Pradesh, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
394,NEWSPACE INDIA LIMITED,FY2024-25,0.5438345,0.0621016999999999,0.4817328,"Andhra Pradesh, Karnataka, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
395,ALUMINIUM POWDER COMPANY LIMITED,FY2024-25,0.275478656,0.275478656,0.0,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
396,CHETTINAD CEMENT CORPORATION PRIVATE LIMITED,FY2024-25,0.407720663,0.3877206629999999,0.02,"Andhra Pradesh, Pan India, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
397,PARADEEP PHOSPHATES LTD,FY2024-25,1.50969628,0.1531816,1.35651468,"Goa, Odisha",PENDING,PENDING,PENDING,PENDING,,,,PENDING
398,KOVAI MEDICAL CENTER AND HOSPITAL LIMITED,FY2024-25,2.1710807,0.0095665,2.1615142,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
399,MAA MAHAMAYA INDUSTRIES LIMITED,FY2024-25,0.6219,0.6219,0.0,Andhra Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
400,TATA MOTORS PASSENGER VEHICLES LIMITED,FY2024-25,1.3333498,0.866985,0.4663648,"Maharashtra, Uttar Pradesh",PENDING,PENDING,PENDING,PENDING,,,,PENDING
401,NTPC-SAIL POWER COMPANY LIMITED,FY2024-25,3.1715,0.0278,3.1437,Chhattisgarh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
402,HERMES DISTILLERY PRIVATE LIMITED,FY2024-25,1.17930776,1.17930776,0.0,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
403,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,FY2023-24,2.359125,2.302875,0.05625,"Gujarat, Jharkhand, Karnataka, Odisha",PENDING,PENDING,PENDING,PENDING,,,,PENDING
404,G4S SECURE SOLUTIONS (INDIA) PRIVATE LIMITED,FY2024-25,0.8610140000000001,0.027494,0.83352,"Haryana, Maharashtra",PENDING,PENDING,PENDING,PENDING,,,,PENDING
405,WILO MATHER AND PLATT PUMPS PRIVATE LIMITED,FY2022-23,0.4787086,0.3987086,0.08,"Delhi, Madhya Pradesh, Maharashtra",PENDING,PENDING,PENDING,PENDING,,,,PENDING
406,MINERAL EXPLORATION CORPORATION LIMITED,FY2020-21,0.925101448,0.8936,0.031501448,"Andhra Pradesh, Chhattisgarh, Odisha, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
407,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,FY2024-25,1.16586,1.16586,0.0,"Karnataka, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
408,APARNA CONSTRUCTIONS AND ESTATES PRIVATE LIMITED,FY2022-23,9.437,9.437,0.0,Telangana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
409,VEM TECHNOLOGIES PRIVATE LIMITED,FY2024-25,1.2999,0.8475,0.4524,Telangana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
410,TOYOTA MATERIAL HANDLING INDIA PRIVATE LIMITED,FY2023-24,0.4725934,0.1549139,0.3176795,"Haryana, Karnataka, Maharashtra, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
411,QUAKER CHEMICAL INDIA PRIVATE LIMITED,FY2023-24,0.35,0.3,0.05,West Bengal,PENDING,PENDING,PENDING,PENDING,,,,PENDING
412,FLDEC SYSTEMS PRIVATE LIMITED,FY2023-24,1.5981445,0.3226,1.2755445,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
