Company Name,Financial Year,PSU/Non-PSU,CSR State,CSR Development Sector,CSR Sub Development Sector,Project Amount Spent (In INR Cr.)
Bonai Industrial Co Ltd,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.32
Praj Industries Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2
Praj Industries Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Cpf (India) Private Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Kiri Industries Limited,FY 2014-15,Non-PSU,Gujarat,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",2.5
Indian Explosives Private Limited,FY 2014-15,Non-PSU,Jharkhand,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.6
Gujarat Ambuja Exports Limited,FY 2014-15,Non-PSU,Karnataka,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Organic India Private Limited,FY 2014-15,Non-PSU,Rajasthan,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
Paradeep Phosphates Ltd,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
The Karur Vysya Bank Limited,FY 2014-15,Non-PSU,Gujarat,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Nectar Life Sciences Limited,FY 2014-15,Non-PSU,Jammu And Kashmir,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.29
Bry- Air (Asia) Private Limited,FY 2014-15,Non-PSU,Punjab,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
The Karur Vysya Bank Limited,FY 2014-15,Non-PSU,Tamil Nadu,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Desiccant Rotors International Private Limited,FY 2014-15,Non-PSU,Rajasthan,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.06
Metrochem Api Private Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.08
Andhra Pradesh Power Generation Corporation Limited,FY 2014-15,PSU,Andhra Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.33
Tokyo Plast International Ltd,FY 2014-15,Non-PSU,Gujarat,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
Sunflag Iron And Steel Co Ltd,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.13
Cirex Pharmaceuticals Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Nirma Limited,FY 2014-15,Non-PSU,Gujarat,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.31
Lakeshore Hospital And Research Centre Limited,FY 2014-15,Non-PSU,Kerala,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
Virupaksha Organics Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Koch Chemical Technology Group India Private Limited,FY 2014-15,Non-PSU,Gujarat,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.29
Lanco Power Limited,FY 2014-15,Non-PSU,Haryana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
Pvr Projects Limited,FY 2014-15,Non-PSU,Andhra Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Gap International Sourcing (India) Private Limited,FY 2014-15,Non-PSU,Karnataka,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.22
San Engineering And Locomotive Company Limited.,FY 2014-15,Non-PSU,Karnataka,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Maithon Power Limited,FY 2014-15,Non-PSU,Jharkhand,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.24
