Company Name,Financial Year,PSU/Non-PSU,CSR State,CSR Development Sector,CSR Sub Development Sector,Project Amount Spent (In INR Cr.)
DUROFLEX PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
APOLLO TYRES LIMITED.,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.031
CLASSIC INDUSTRIES AND EXPORTS LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
MAHINDRA EPC IRRIGATION LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0138
S G S INDIA PRIVATE LIMITED,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.164
LANXESS INDIA PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.036
PAN SEEDS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0418929
VEDANTA LIMITED,FY 2020-21,Non-PSU,Goa,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
CHEMPLAST CUDDALORE VINYLS LIMITED,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.008
CHEMPLAST SANMAR LIMITED,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.045
ZUARI GLOBAL LIMITED   ,FY 2020-21,Non-PSU,Uttar Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0511
SHAKAMBHARI ISPAT & POWER LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0773635
SUN PHARMACEUTICAL INDUSTRIES LIMITED   ,FY 2020-21,Non-PSU,Punjab,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
GUJARAT STATE FERTILIZERS & CHEMICALSLIMITED  ,FY 2020-21,Non-PSU,Gujarat,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2315
SREE RAYALASEEMA HI-STRENGTH HYPO LIMITED,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0555
ANUGRAHA VALVE CASTINGS LIMITED   ,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0061295
UNITED GLOBAL CORPORATION LIMITED,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.34252
TGV SRAAC LIMITED,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.3786
MADHYA BHARAT AGRO PRODUCTS LIMITED   ,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.025
KRISHANA PHOSCHEM LIMITED   ,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.115
WELLKNOWN POLYESTERS LIMITED,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
WESTERN COALFIELDS LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.019
DHARAMPAL SATYAPAL LIMITED   ,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.493
AKAMAI TECHNOLOGIES INDIA PRIVATELIMITED  ,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.062639
MAHARASHTRA STATE POWER GENERATIONCOMPANY LIMITED  ,FY 2020-21,PSU,Chhattisgarh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
NTECK AUTOMOTIVE PRIVATE LIMITED,FY 2020-21,Non-PSU,Haryana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.014536
DHARAMPAL SATYAPAL SONS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Uttar Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.4935608
NSE CLEARING LIMITED,FY 2020-21,Non-PSU,Kerala,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
PRISM JOHNSON LIMITED,FY 2020-21,Non-PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.07
NSE CLEARING LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.13
MJUNCTION SERVICES LIMITED   ,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.135
BCD TRAVEL INDIA PRIVATE LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.052965
KOTHARI HOSIERY FACTORY PVT LTD,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0230101
KOTHARI HOSIERY FACTORY PVT LTD,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0225
INTELIZIGN ENGINEERING SERVICES PRIVATE LIMITED,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0331112
SHERA HOSIERY PRIVATE LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00765
CHARAK PHARMA PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0058
Ramco Industries Limited,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00062
KOGTA FINANCIAL (INDIA) LTD   ,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.032288
SHAPOORJI PALLONJI BUMI ARMADA OFFSHORE PRIVATE LIMITED,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1811478
NSE CLEARING LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.19
MOTHER HOSPITAL PVT LTD,FY 2020-21,Non-PSU,Kerala,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0036
INDO- NATIONAL LIMITED   ,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0043101
CHENNAI MSW PRIVATE LIMITED,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1531
KANAM LATEX INDUSTRIES PVT LTD,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1989
Andaman And Nicobar Islands Integrated Development Corporation Limited.,FY 2020-21,PSU,Andaman and Nicobar Islands,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0108
ALAKNANDA SPONGE IRON LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0191
RITES LIMITED   ,FY 2020-21,PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
BUDGE BUDGE REFINERIES LTD,FY 2020-21,Non-PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
LOUIS DREYFUS COMPANY INDIA PRIVATE LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0040621
KISWOK INDUSTRIES PRIVATE LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0051
ITI Limited,FY 2020-21,PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
KISWOK INDUSTRIES PRIVATE LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
ATLAS COPCO (INDIA) LIMITED   ,FY 2020-21,Non-PSU,Telangana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.6
ATLAS COPCO (INDIA) LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.748
FLAGSHIP BIOTECH INTERNATIONAL PRIVATELIMITED,FY 2020-21,Non-PSU,Gujarat,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0037032
ALCHEM INTERNATIONAL PRIVATE LIMITED,FY 2020-21,Non-PSU,Haryana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0002
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE PRIVATE LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.023446345
GAGAN FERROTECH LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.531766
Ccl Products (India) Limited,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.5325291
NORWICH CLINICAL SERVICES PRIVATELIMITED,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0149525
GOYAL HOSPITAL AND RESEARCH CENTRE PVTLTD  ,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
ECLIPSE COMBUSTION PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0139
HONEYWELL AUTOMATION INDIA LIMITED,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.77
HONEYWELL INTERNATIONAL (INDIA) PRIVATELIMITED  ,FY 2020-21,Non-PSU,Telangana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.32
UOP INDIA private limited,FY 2020-21,Non-PSU,Telangana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.16
HONEYWELL TECHNOLOGY SOLUTIONS LABPRIVATE LIMITED  ,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",2.36
SARGUJA RAIL CORRIDOR PRIVATE LIMITED,FY 2020-21,Non-PSU,Chhattisgarh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0441
STERLING AND WILSON PRIVATE LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
KANOHAR ELECTRICALS LIMITED,FY 2020-21,Non-PSU,Uttar Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.4785269
PANDIAN CHEMICALS LIMITED   ,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0055962
GABRIEL INDIA LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.285
HINDUSTAN AERONAUTICS LIMITED   ,FY 2020-21,PSU,Odisha,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0111
BHUBANESWARI COAL MINING LIMITED   ,FY 2020-21,Non-PSU,Odisha,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0033
UNIQUE BIOTECH LIMITED,FY 2020-21,Non-PSU,Telangana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.25
NOSCH LABS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Telangana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0112675
TATA STEEL LIMITED,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.85
TATA STEEL LIMITED,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.23
NATIONAL SEEDS CORPORATION LIMITED,FY 2020-21,PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05064
NORTHERN COALFIELDS LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.36
NORTHERN COALFIELDS LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
NORTHERN COALFIELDS LIMITED,FY 2020-21,PSU,Uttar Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
NATIONAL SEEDS CORPORATION LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04502
SARGUJA RAIL CORRIDOR PRIVATE LIMITED,FY 2020-21,Non-PSU,Chhattisgarh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0053
OWARI PRECISION PRODUCTS (INDIA) PRIVATE LIMITED,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02468
NORTHERN COALFIELDS LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.17
NORTHERN COALFIELDS LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.15
TATA STEEL LIMITED,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",3.01
NORTHERN COALFIELDS LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
NEKKANTI SEA FOODS LTD.,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0531
AYURVET LIMITED   ,FY 2020-21,Non-PSU,Haryana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.026
Tokai Rika Minda India Private Limited,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.064
TATA STEEL DOWNSTREAM PRODUCTS LIMITED,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.015
HINDUSTAN AERONAUTICS LIMITED   ,FY 2020-21,PSU,Uttar Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1121
RAMKY ESTATES AND FARMS LIMITED   ,FY 2020-21,Non-PSU,Telangana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.045
MUMBAI WASTE MANAGEMENT LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1777
RAMKY ENVIRO ENGINEERS LIMITED   ,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.118
RAMKY ENVIRO ENGINEERS LIMITED   ,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1199
RAMKY ENVIRO ENGINEERS LIMITED   ,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0472
MUMBAI WASTE MANAGEMENT LIMITED   ,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2027
HYDERABAD INTEGRATED MSW LIMITED,FY 2020-21,Non-PSU,Telangana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.354
BHUBANESWAR UDYOG PVT LTD,FY 2020-21,Non-PSU,Odisha,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0497993
WPIL LIMITED,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0254
ANDHRA PAPER LIMITED,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.175
NORTHERN COALFIELDS LIMITED,FY 2020-21,PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.35
HONDA LOGISTICS INDIA PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.026504
NATIONAL SEEDS CORPORATION LIMITED,FY 2020-21,PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0215776
RITES LIMITED   ,FY 2020-21,PSU,Delhi,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
RAMKY PHARMA CITY (INDIA) LIMITED   ,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
UNIVERSAL BIOFUELS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.14455
WOLKEM INDIA LIMITED,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.001069
JSW HYDRO ENERGY LIMITED,FY 2020-21,Non-PSU,Himachal Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04
WALWHAN SOLAR MP LIMITED,FY 2020-21,Non-PSU,Madhya Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1069
JSW ENERGY LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.96
AMBA RIVER COKE LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.92
JSW JAIGARH PORT LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.28
SKODA AUTO VOLKSWAGEN INDIA PRIVATELIMITED  ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.792
AMMAN-TRY SPONGE AND POWER PRIVATE LIMITED,FY 2020-21,Non-PSU,Andhra Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.005
PAN SEEDS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0040196
EUREKA FORBES LTD   ,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.99
NSE CLEARING LIMITED,FY 2020-21,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.3
NSE CLEARING LIMITED,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
ATLAS COPCO (INDIA) LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.091
PRIVI SPECIALITY CHEMICALS LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
HINDUJA HOUSING FINANCE LIMITED   ,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.48712
PREMCEM GUMS PRIVATE LIMITED,FY 2020-21,Non-PSU,Gujarat,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0086192
SAYAJI INDUSTRIES LIMITED   ,FY 2020-21,Non-PSU,Gujarat,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0196
S P SPINNING MILLS PRIVATE LIMITED,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.004387
SOUTHCITY PROPERTIES (INDIA) PRIVATELIMITED  ,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
GIA INDIA LABORATORY PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Maharashtra,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.91
TATA STEEL LIMITED,FY 2020-21,Non-PSU,PAN India,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.35
MMTC - PAMP INDIA PRIVATE LIMITED,FY 2020-21,Non-PSU,Haryana,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1367
SUGUNA FOODS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Karnataka,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0130626
SUGUNA FOODS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0199776
SUGUNA FOODS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Uttar Pradesh,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00273
SUGUNA FOODS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.009767
SUGUNA FOODS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Tamil Nadu,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0082511
SUGUNA FOODS PRIVATE LIMITED   ,FY 2020-21,Non-PSU,Punjab,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0066789
Dollar Industries Limited,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Dollar Industries Limited,FY 2020-21,Non-PSU,West Bengal,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.7938
