"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"National Seeds Corporation Limited","FY 2014-15",PSU,Uttarakhand,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",1.23
"Adani Power Rajasthan Limited","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.09
"Ultratech Cement Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.54
"Essel Mining & Industries Ltd.","FY 2014-15",Non-PSU,Odisha,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.22
"Hindalco Industries Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.56
"Phi Seeds Private Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.4
"Arjuna Natural Extracts Ltd","FY 2014-15",Non-PSU,Kerala,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Citicorp Services India Private Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",2.69
"Gabriel India Limited","FY 2014-15",Non-PSU,"Himachal Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.11
"Ultratech Cement Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.33
"Hindalco Industries Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.15
"Vishnu Prakash R Punglia Limited","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Kifs Securities Private Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Devi Sea Foods Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Applabs Technologies Private Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Vasudha Pharma Chem Limited","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Vanaz Engineers Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"West Bengal Mineral Development And Trading Corp Ltd","FY 2014-15",PSU,"West Bengal","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.56
"Container Corporation Of India Limited","FY 2014-15",PSU,"Himachal Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.45
"Container Corporation Of India Limited","FY 2014-15",PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.56
